SYMBOL,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,SETTLE_PR,TIMESTAMP
TECHM,403.55,413.5,402.25,403.5,403.5,2686.0,12032.48,8111400.0,-39600.0,403.5,11-Aug-17
TITAN,603.8,619.0,603.1,609.55,609.55,2730.0,25003.69,5320500.0,-117000.0,609.55,11-Aug-17
TORNTPHARM,1216.8,1246.95,1200.05,1221.15,1221.15,323.0,1575.98,221600.0,-17200.0,1221.15,11-Aug-17
TORNTPOWER,187.25,195.45,184.0,193.95,193.95,1085.0,6233.11,6324000.0,-147000.0,193.95,11-Aug-17
TV18BRDCST,34.95,36.0,34.6,35.4,35.4,711.0,4262.18,82807000.0,-221000.0,35.4,11-Aug-17
TVSMOTOR,567.35,575.0,521.8,530.35,530.35,7751.0,84420.13,5570000.0,854000.0,530.35,11-Aug-17
UBL,817.0,826.95,777.0,788.2,788.2,1575.0,8899.64,1246000.0,-98700.0,788.2,11-Aug-17
UJJIVAN,303.6,316.25,302.45,311.05,311.05,1901.0,7063.76,7542000.0,-286800.0,311.05,11-Aug-17
ULTRACEMCO,3900.0,3977.85,3858.15,3929.75,3929.75,2889.0,22660.79,1430800.0,800.0,3929.75,11-Aug-17
UNIONBANK,128.8,130.05,124.15,127.55,127.55,8021.0,40711.68,20528000.0,-12000.0,127.55,11-Aug-17
UPL,812.1,831.5,798.7,814.45,814.45,1543.0,15113.07,4758000.0,45600.0,814.45,11-Aug-17
VEDL,295.15,295.9,277.35,279.7,279.7,17901.0,180075.47,36351000.0,-623000.0,279.7,11-Aug-17
VGUARD,165.05,174.6,164.55,172.7,172.7,404.0,2062.91,3159000.0,-51000.0,172.7,11-Aug-17
VOLTAS,512.0,525.65,508.2,519.2,519.2,1919.0,19863.43,3278000.0,14000.0,519.2,11-Aug-17
WIPRO,289.45,294.95,289.25,290.5,290.5,2473.0,17296.27,21710400.0,-7200.0,290.5,11-Aug-17
WOCKPHARMA,554.6,565.0,539.0,557.95,557.95,1899.0,8410.42,3102400.0,10400.0,557.95,11-Aug-17
YESBANK,1711.1,1764.7,1711.1,1746.7,1746.7,19248.0,117430.09,8554700.0,-222250.0,1746.7,11-Aug-17
ZEEL,520.45,521.9,505.7,507.55,507.55,3119.0,20836.62,5993000.0,237900.0,507.55,11-Aug-17
ACC,1771.2,1792.5,1757.45,1783.85,1783.85,2335,16578.86,1143200,-6800,1783.85,14-AUG-2017
ADANIENT,114.65,118.55,112.0,116.95,116.95,1874,17362.76,24384000,128000,116.95,14-AUG-2017
ADANIPORTS,387.55,406.55,387.5,398.1,398.1,3363,33475.12,6850000,-67500,398.1,14-AUG-2017
ADANIPOWER,27.45,28.9,27.4,28.7,28.7,567,3216.6,93160000,-1000000,28.7,14-AUG-2017
AJANTPHARM,1242.8,1258.3,1218.0,1242.25,1242.25,616,3053.28,548800,-8800,1242.25,14-AUG-2017
